variant,question,accuracy
not,t2q4,0
dis,t1q1,0
not,t4q3,0
dis,t1q1,0
dis,t1q2,0
not,t3q4,0
not,t4q3,0
dis,t1q1,0
dis,t1q2,0
dis,t1q3,0
dis,t1q4,0
dis,t1q5,0
dis,t2q5,0
not,t3q2,0
not,t3q5,0
not,t4q5,0
not,t1q1,0
not,t1q2,0
not,t1q5,0
not,t2q1,0
not,t2q5,0
dis,t3q2,0
dis,t3q5,0
dis,t4q3,0
not,t1q1,0
not,t2q5,0
not,t2q4,0
not,t2q5,0
dis,t3q5,0
dis,t1q1,0
dis,t1q2,0
dis,t1q5,0
dis,t2q4,0
dis,t2q5,0
dis,t1q1,0
dis,t2q2,0
dis,t2q4,0
dis,t2q5,0
not,t3q3,0
not,t3q5,0
not,t4q1,0
dis,t1q1,0
dis,t1q2,0
dis,t1q4,0
not,t1q1,0
not,t1q4,0
not,t2q1,0
not,t2q3,0
dis,t3q2,0
dis,t3q3,0
dis,t3q5,0
dis,t4q1,0
dis,t4q3,0
dis,t1q3,0
dis,t1q5,0
dis,t2q5,0
not,t3q3,0
not,t1q2,0
not,t2q5,0
not,t1q2,0
not,t2q1,0
not,t2q4,0
dis,t3q5,0
not,t2q2,0
dis,t3q3,0
dis,t4q1,0
dis,t4q3,0
not,t2q5,0
dis,t2q5,0
dis,t1q1,0
dis,t1q4,0
dis,t2q3,0
dis,t2q4,0
dis,t2q5,0
not,t3q5,0
dis,t1q1,0
dis,t2q4,0
not,t3q5,0
dis,t4q3,0
dis,t2q2,0
dis,t2q4,0
dis,t2q5,0
not,t3q4,0
not,t3q5,0
dis,t1q1,0
dis,t2q4,0
not,t3q2,0
not,t3q3,0
not,t3q4,0
dis,t1q1,0
dis,t1q3,0
dis,t2q4,0
not,t1q1,0
not,t1q3,0
not,t2q2,0
not,t2q4,0
dis,t1q2,0
dis,t1q5,0
dis,t2q2,0
not,t3q2,0
dis,t1q1,0
dis,t1q5,0
dis,t2q2,0
dis,t2q4,0
dis,t2q5,0
not,t3q2,0
not,t3q4,0
not,t3q5,0
not,t4q1,0
not,t4q3,0
dis,t3q3,0
dis,t1q3,0
dis,t2q1,0
dis,t2q4,0
dis,t2q4,0
dis,t2q2,0
dis,t2q3,0
dis,t2q4,0
dis,t2q5,0
not,t3q3,0
not,t3q4,0
not,t2q2,0
not,t2q3,0
not,t2q4,0
not,t2q5,0
dis,t2q3,0
dis,t2q4,0
not,t1q1,0
not,t1q3,0
not,t2q1,0
not,t2q2,0
not,t2q4,0
not,t2q5,0
dis,t3q2,0
dis,t3q3,0
dis,t4q5,0
not,t2q2,0
not,t2q4,0
dis,t3q3,0
dis,t3q4,0
dis,t4q3,0
not,t1q3,0
dis,t4q3,0
not,t1q4,0
dis,t3q3,0
not,t1q3,0
dis,t3q2,0
dis,t3q3,0
dis,t3q4,0
dis,t3q5,0
not,t2q2,0
not,t2q3,0
not,t2q4,0
dis,t1q3,0
dis,t1q4,0
dis,t2q5,0
not,t3q2,0
not,t3q3,0
not,t3q4,0
not,t3q5,0
dis,t2q3,0
not,t3q3,0
not,t4q3,0
dis,t1q5,0
dis,t2q3,0
not,t4q4,0
dis,t1q1,0
dis,t1q2,0
dis,t1q5,0
dis,t2q3,0
not,t3q3,0
not,t3q5,0
not,t4q4,0
not,t4q5,0
not,t1q3,0
dis,t3q3,0
dis,t3q4,0
not,t1q2,0
not,t2q2,0
dis,t3q3,0
not,t4q5,0.1
dis,t1q5,0.2
not,t4q5,0.2
not,t1q4,0.2
not,t1q5,0.2
dis,t1q4,0.2
dis,t2q3,0.2
not,t4q5,0.2
not,t3q1,0.2
not,t3q1,0.2
not,t1q4,0.2
not,t1q4,0.2
dis,t4q5,0.2
dis,t1q5,0.2
not,t4q5,0.2
dis,t2q5,0.2
not,t4q5,0.2
not,t3q1,0.25
not,t4q5,0.25
not,t4q5,0.25
dis,t1q5,0.25
dis,t3q2,0.3
not,t1q5,0.3
dis,t2q3,0.3
not,t4q2,0.3
dis,t1q5,0.3
not,t4q4,0.3
dis,t4q5,0.3
dis,t4q4,0.3
dis,t4q4,0.3
dis,t4q4,0.3
dis,t4q4,0.3
dis,t1q4,0.3
dis,t1q4,0.3
dis,t1q4,0.3
not,t4q4,0.33
dis,t1q4,0.33
not,t4q4,0.33
dis,t4q4,0.33
not,t1q4,0.33
not,t3q2,0.33
not,t3q5,0.33
